asset_id,name_zh,category,origin_type,source_path,source_version,runtime_path,runtime_filename,reference_version,width,height,display_size,alpha,anchor,trim_mode,atlas,bundle,fgui_package,fgui_resource_name,runtime_url,delivery_mode,remote_bundle,remote_path,remote_version,fallback_asset,cache_policy,download_priority,ai_model,prompt_id,license_status,status,review_note,sha256
item_phone_blue,蓝色手机,item,ai_generated,art/final/item/item_phone_blue.png,v001,fairygui/assets/ui-game/images/items/item_phone_blue.png,item_phone_blue.png,Item Style Master V1,1024,1024,90-256,yes,center,Auto Trim,game_common,game_common,ui-game,item_phone_blue,ui://rpggm001gm102,local,,,,,,,OpenAI ImageGen builtin,prompt-item-phone-blue-v01,terms_checked,fgui_preview_passed,developer_visual_approved;technical_qa_passed;terms_checked;fgui_imported;ui_game_v001;fgui_preview_passed,01a9951681a56bfd86c942a08064f470c8bfe68afd3699441f5df3a195c1cea2
item_phone_black,黑色手机,item,ai_generated,art/final/item/item_phone_black.png,v001,,item_phone_black.png,Item Style Master V1,1024,1024,90-256,yes,center,Auto Trim,game_common,game_common,,,,,,,,,,,OpenAI ImageGen builtin,prompt-item-phone-black-v01,terms_checked,ready_for_import,developer_visual_approved;technical_qa_passed;terms_checked;not_imported,39f765a6c5bfa5ffde85a067720f00b2a1ad6da757f3be4c816c0e0d4164c576
item_charger_white,白色充电头,item,ai_generated,art/final/item/item_charger_white.png,v001,fairygui/assets/ui-game/images/items/item_charger_white.png,item_charger_white.png,Item Style Master V1,1024,1024,90-256,yes,center,Auto Trim,game_common,game_common,ui-game,item_charger_white,ui://rpggm001gm103,local,,,,,,,OpenAI ImageGen builtin,prompt-item-charger-white-v01,terms_checked,fgui_preview_passed,developer_visual_approved;technical_qa_passed;terms_checked;fgui_imported;ui_game_v001;fgui_preview_passed,43881dd7cf195a9b1e957748c9a972c551b74135d28ca7feefceaf9a94067d19
item_glass_empty,空玻璃杯,item,ai_generated,art/final/item/item_glass_empty.png,v001,fairygui/assets/ui-game/images/items/item_glass_empty.png,item_glass_empty.png,Item Style Master V1,1024,1024,90-256,yes,center,Auto Trim,game_common,game_common,ui-game,item_glass_empty,ui://rpggm001gm104,local,,,,,,,OpenAI ImageGen builtin,prompt-item-glass-empty-v01,terms_checked,fgui_preview_passed,developer_visual_approved;technical_qa_passed;terms_checked;fgui_imported;ui_game_v001;fgui_preview_passed,f18b63bb3cdaec2c8f086bd86e147d353046be893f8b92c14afd05834d15c501
item_fish_frozen,冰鲜鱼,item,ai_generated,art/final/item/item_fish_frozen.png,v001,fairygui/assets/ui-game/images/items/item_fish_frozen.png,item_fish_frozen.png,Item Style Master V1,1024,1024,90-256,yes,center,Auto Trim,game_common,game_common,ui-game,item_fish_frozen,ui://rpggm001gm105,local,,,,,,,OpenAI ImageGen builtin,prompt-item-fish-frozen-v01,terms_checked,fgui_preview_passed,developer_visual_approved;technical_qa_passed;terms_checked;fgui_imported;ui_game_v001;fgui_preview_passed,b1f134eef61c9769e838b8d76e01a4bb437347ab9bec5e5d00a5080f9353c333
item_phone_red,红色手机,item,ai_generated,art/final/item/item_phone_red.png,v001,,item_phone_red.png,Item Style Master V1,1024,1024,90-256,yes,center,Auto Trim,game_common,game_common,,,,,,,,,,,OpenAI ImageGen builtin,prompt-item-expansion-batch-v01,terms_checked,ready_for_import,developer_visual_approved;technical_qa_passed;terms_checked;not_imported,ee129305e4703a9317ab8faf4cd7e78381cca10ed6d61d1370c3d824e308ca58
item_phone_case_red,红色手机壳,item,ai_generated,art/final/item/item_phone_case_red.png,v001,,item_phone_case_red.png,Item Style Master V1,1024,1024,90-256,yes,center,Auto Trim,game_common,game_common,,,,,,,,,,,OpenAI ImageGen builtin,prompt-item-expansion-batch-v01,terms_checked,ready_for_import,developer_visual_approved;technical_qa_passed;terms_checked;not_imported,be793c827bdf55addf8588246acf534be922add4cf6d6dc05ceddd3ad673eefa
item_earphones_purple,紫色有线耳机,item,ai_generated,art/final/item/item_earphones_purple.png,v001,,item_earphones_purple.png,Item Style Master V1,1024,1024,90-256,yes,center,Auto Trim,game_common,game_common,,,,,,,,,,,OpenAI ImageGen builtin,prompt-item-expansion-batch-v01,terms_checked,ready_for_import,developer_visual_approved;technical_qa_passed;terms_checked;not_imported,a73cac014ab065e507c7cad5f0216c23d86d6821ebd912e24aec961b477b3fe8
item_keyboard_gray,灰色键盘,item,ai_generated,art/final/item/item_keyboard_gray.png,v001,,item_keyboard_gray.png,Item Style Master V1,1024,1024,90-256,yes,center,Auto Trim,game_common,game_common,,,,,,,,,,,OpenAI ImageGen builtin,prompt-item-expansion-batch-v01,terms_checked,ready_for_import,developer_visual_approved;technical_qa_passed;terms_checked;not_imported,65e3f4cbe0b6f12e08d846f1c4b6fccfd818490d7884b2c3f64e19060048d8d3
item_mouse_gray,灰色鼠标,item,ai_generated,art/final/item/item_mouse_gray.png,v001,,item_mouse_gray.png,Item Style Master V1,1024,1024,90-256,yes,center,Auto Trim,game_common,game_common,,,,,,,,,,,OpenAI ImageGen builtin,prompt-item-expansion-batch-v01,terms_checked,ready_for_import,developer_visual_approved;technical_qa_passed;terms_checked;not_imported,8a2d04333df8795d2680bb06a94ee8c0c04fec2108443407808991eb23ea6af8
item_battery_aa_green,绿色AA电池,item,ai_generated,art/final/item/item_battery_aa_green.png,v001,,item_battery_aa_green.png,Item Style Master V1,1024,1024,90-256,yes,center,Auto Trim,game_common,game_common,,,,,,,,,,,OpenAI ImageGen builtin,prompt-item-expansion-batch-v01,terms_checked,ready_for_import,developer_visual_approved;technical_qa_passed;terms_checked;not_imported,b200e30dcd978646338d4ac10e52ba8dd3904689502a5d7c5c1ec6005ba837e9
